candle_begin_time,total_mcap
2022-05-02,733170725790.502
2022-05-03,718385701942.7863
2022-05-04,755491473700.3021
2022-05-05,696088266356.3698
2022-05-06,685953792235.6367
2022-05-07,675729532873.6775
2022-05-08,648302121215.0068
2022-05-09,576716899022.8749
2022-05-10,590565398299.3538
2022-05-11,550870071633.7921
2022-05-12,553017241734.5823
2022-05-13,557525025253.1895
2022-05-14,573129618194.873
2022-05-15,596074575228.329
2022-05-16,568643328349.0942
2022-05-17,579391415566.4185
2022-05-18,546936441379.50714
2022-05-19,577316228899.2927
2022-05-20,556131920268.7847
2022-05-21,560565793081.5233
2022-05-22,577568895835.7279
2022-05-23,554268758109.305
2022-05-24,564895173841.0569
2022-05-25,563145244691.9681
2022-05-26,557547946793.0994
2022-05-27,545394291709.648
2022-05-28,553000654671.5612
2022-05-29,561034743433.2341
2022-05-30,604513442525.6322
2022-05-31,605797887876.4811
2022-06-01,567842680885.8693
2022-06-02,580603466872.2273
2022-06-03,566088081691.1243
2022-06-04,568564420350.0166
2022-06-05,569996838236.8469
2022-06-06,597927548347.3992
2022-06-07,593857882016.7052
2022-06-08,575953219487.9104
2022-06-09,574029141738.8079
2022-06-10,554455834485.5449
2022-06-11,540698499860.0174
2022-06-12,510252464820.70245
2022-06-13,428759852105.4336
2022-06-14,423429131864.1086
2022-06-15,430432160005.5631
2022-06-16,388664840556.7146
2022-06-17,390391528176.4584
2022-06-18,362685324229.08997
2022-06-19,391988917193.64276
2022-06-20,392888024958.79834
2022-06-21,395025644879.74805
2022-06-22,381240087223.7676
2022-06-23,402219959760.7304
2022-06-24,405018505024.2244
2022-06-25,410202265385.4171
2022-06-26,401157940864.25543
2022-06-27,395606854740.9937
2022-06-28,386949194397.68604
2022-06-29,383598071095.3861
2022-06-30,377526215552.48334
2022-07-01,367709366218.77454
2022-07-02,367208487556.9603
2022-07-03,368272636367.54926
2022-07-04,386119553712.3759
2022-07-05,385349780369.63275
2022-07-06,392200896304.72876
2022-07-07,413013947459.03107
2022-07-08,414819851681.3247
2022-07-09,412185216767.55273
2022-07-10,398237577323.421
2022-07-11,381264246558.4073
2022-07-12,368936762200.5966
2022-07-13,385908229967.85583
2022-07-14,392755738689.36505
2022-07-15,397861215081.4337
2022-07-16,404639672831.0732
2022-07-17,396808327004.876
2022-07-18,429412153274.09924
2022-07-19,446690803766.24475
2022-07-20,443696738856.2667
2022-07-21,442435421338.9035
2022-07-22,433866028177.056
2022-07-23,429122209145.3585
2022-07-24,431890710883.44415
2022-07-25,408078695877.9818
2022-07-26,405770108604.6329
2022-07-27,438095993233.2162
2022-07-28,455565748691.76636
2022-07-29,454837507676.1992
2022-07-30,452020722098.64417
2022-07-31,445941074223.0347
2022-08-01,445527356895.9541
2022-08-02,439128030641.5891
2022-08-03,436633304289.2906
2022-08-04,432532599006.82007
2022-08-05,445137234251.79144
2022-08-06,438890198160.7089
2022-08-07,443014963855.3803
2022-08-08,455148536623.6885
2022-08-09,442835162483.4884
2022-08-10,457833729141.9044
2022-08-11,458043109398.0666
2022-08-12,466578839477.7378
2022-08-13,467007252128.57715
2022-08-14,465024405299.05
2022-08-15,461560003436.7841
2022-08-16,456730745422.83
2022-08-17,446283604019.9576
2022-08-18,443947256035.68604
2022-08-19,399309311305.8228
2022-08-20,404848126556.15625
2022-08-21,411906673576.2081
2022-08-22,409340103013.239
2022-08-23,411833237127.9954
2022-08-24,409308514098.03644
2022-08-25,413267825941.4659
2022-08-26,387636192940.5091
2022-08-27,383478483268.68085
2022-08-28,375367382007.77466
2022-08-29,388422039679.39404
2022-08-30,378850670474.30646
2022-08-31,383710102294.92267
2022-09-01,385208305831.55347
2022-09-02,382212933183.834
2022-09-03,379595440556.62494
2022-09-04,382576542382.1247
2022-09-05,379258182345.3715
2022-09-06,360616650169.4888
2022-09-07,369299496558.9587
2022-09-08,370071738763.0203
2022-09-09,409363809141.2166
2022-09-10,415117548315.4172
2022-09-11,416840289162.14294
2022-09-12,428373958242.3746
2022-09-13,386523635969.0138
2022-09-14,387631908834.7673
2022-09-15,377311288517.1626
2022-09-16,378693173324.3745
2022-09-17,385513277844.8006
2022-09-18,371970445843.4492
2022-09-19,374373522207.299
2022-09-20,361876433047.0796
2022-09-21,355314855624.0333
2022-09-22,371923967755.3982
2022-09-23,369718966324.7727
2022-09-24,362826506171.9257
2022-09-25,360259346858.1284
2022-09-26,368335944295.84424
2022-09-27,366202733264.25806
2022-09-28,372279603227.35004
2022-09-29,375100872175.0431
2022-09-30,372414733487.4512
2022-10-01,370142714486.86505
2022-10-02,365024821953.6666
2022-10-03,376151028151.39246
2022-10-04,389843287588.4067
2022-10-05,386489739242.7307
2022-10-06,382574032285.7983
2022-10-07,374761116006.4636
2022-10-08,372284398575.1893
2022-10-09,372876821416.32684
2022-10-10,367049182259.3842
2022-10-11,365340817941.12555
